code,error_message,in_local_master_md_sections,in_kb_indexed_table_version,verified_in_kb_via_retrieve_test
201,"Communication error between indoor and outdoor unit (tracking failure, the quantity/address of indoor units set on the outdoor unit's PCB differs from the quantity/address of actual indoor units)",yes,assumed (full original table),not sampled
202,Indoor/Outdoor communication error after 1 min. (all the indoor units fail to communicate with outdoor unit),yes,assumed (full original table),not sampled
203,Communication error between outdoor main & inverter micom (detected after 1 min. of operation),yes,assumed (full original table),not sampled
204,"After completing Tracking 5 times, the quantity of MCU boxes set on the PCB of the ODU's PCB differ from the amount of MCU boxes actually connected to the ODU",yes,assumed (full original table),not sampled
205,Communication Error Between Outdoor Unit Inv Micom -- Fan Motor Micom,yes,assumed (full original table),not sampled
206,Outdoor unit communication error between main MICOM and inverter MICOM,yes,assumed (full original table),not sampled
210,Communication error between MCU box and outdoor unit,yes,assumed (full original table),not sampled
211,Conflicting addresses on indoor units and MCU,yes,assumed (full original table),not sampled
212,Occurs if the same indoor unit is assigned to an MCU box 3 times,yes,assumed (full original table),not sampled
213,Indoor unit addresses and indoor unit activating dip switch on the MCU box do not match,yes,assumed (full original table),not sampled
214,Quantity of MCU's set on the outdoor unit does not match actual quantity of MCU's,yes,assumed (full original table),not sampled
215,Indoor unit's address setting error on the MCU box,yes,assumed (full original table),not sampled
216,Indoor unit's activating dipaswitch causes setting error on MCU's PCB (the indoor unit is not connected to the MCU's port but the indoor unit's activating dipswitch on the MCU's PCB turns on),yes,assumed (full original table),not sampled
217,Indoor unit's activating dipaswitch causes setting error on MCU's PCB (the indoor unit is connected to the MCU's port but the indoor unit's activating dipswitch on the MCU's PCB turns off),yes,assumed (full original table),not sampled
218,Indoor unit quantity causes error MCU's PCB (quantity of installed indoor units has exceeded the maximum for the MCU's PCB),yes,assumed (full original table),not sampled
219,MCU subcooler-in sensor short/open error,yes,assumed (full original table),not sampled
220,MCU subcooler-in sensor short/open error,yes,assumed (full original table),not sampled
221,Outdoor temperature sensor error Error level; over 4.9V (-50°C) under 0.4V (93°C),yes,assumed (full original table),not sampled
224,Water Temprature SENSOR ERROR (OPEN/SHORT),yes,assumed (full original table),not sampled
226,Ambient temperature sensor has become detached from the outdoor unit,yes,assumed (full original table),not sampled
231,Condensor-out temperature sensor error on the main outdoor unit (open/short error),yes,assumed (full original table),not sampled
236,Condensor-out temperature sensor of the outdoor unit open/short error,yes,assumed (full original table),not sampled
237,Condensor temperature sensor error (open/short error) Error level; over 4.9V (-50°C) under 0.4V (93°C),yes,assumed (full original table),not sampled
241,Condensor-mid temperature sensor has become detached,yes,assumed (full original table),not sampled
242,Outdoor Unit Heater Error,yes,assumed (full original table),not sampled
246,Condensor-out 1 temperature sensor has become detached,yes,assumed (full original table),not sampled
251,Discharge temperature sensor error (open/short),yes,assumed (full original table),not sampled
256,"Discharge temperature sensor of compressor 1 short/open  -ERROR detect Condition: detect outdoor temperatureerature more than -10°C  -ERROR LEVEL: more than 4.95V(-30'C), less than 0.5V(151'C)",yes,assumed (full original table),not sampled
257,"Discharge temperature sensor of compressor 2 short/open  -ERROR detect Condition: detect Outdoor temperatureerature more than -10 °C  -ERROR LEVEL: more than 4.95V(-30'C),less than 0.5V(151'C)",yes,assumed (full original table),yes
258,"Discharge temperature sensor of compressor 3 short/open  -ERROR detect Condition: Outdoor temperatureerature more than -10  detect °C  -ERROR LEVEL: more than 4.95V(-30'C),less than 0.5V(151'C)",yes,assumed (full original table),yes
261,Compressor discharge temperature sensor of compressor 1 has become detached - self diagnosis,yes,assumed (full original table),yes
262,Compressor discharge temperature sensor of compressor 1 has become detached - self diagnosis,yes,assumed (full original table),yes
263,Compressor discharge temperature sensor of compressor 2 has become detached - self diagnosis,yes,assumed (full original table),yes
264,Compressor discharge temperature sensor of compressor 3 has become detached - self diagnosis,yes,assumed (full original table),yes
265,Sump (base) temperature sensor of main unit's compressor has become detached from the compressor,yes,assumed (full original table),yes
266,Sump (base) temperature sensor of sub unit 1's compressor has become detached from the compressor,yes,assumed (full original table),yes
267,Sump (base) temperature sensor of sub unit 2's compressor has become detached from the compressor,yes,assumed (full original table),yes
268,Sump (base) temperature sensor of sub unit 3's compressor has become detached from the compressor,yes,assumed (full original table),yes
269,Suction line 1 temperature sensor has become detached from the sensor bracket,yes,assumed (full original table),yes
271,"Sump (base) temperature sensor error on compressor 1 (short/open)  -ERROR detect Condition: detect outdoortemperatureerature -10°C  -ERROR LEVEL: more than 4.95V(-30'C), less than 0.5V(151'C)",yes,assumed (full original table),yes
276,"Sump (base) temperature sensor error on compressor 1 (short/open)  -ERROR detect Condition: detect outdoor temperatureerature more than -10°C  -ERROR LEVEL: more than 4.95V(-30'C), less than 0.5V(151'C)",yes,assumed (full original table),not sampled
277,"Sump (base) temperature sensor error on compressor 2 (short/open)  -ERROR detect Condition: detect outdoor temperatureerature -10°C  -ERROR LEVEL: more than 4.95V(-30'C), less than 0.5V(151'C)",yes,assumed (full original table),not sampled
278,"Sump (base) temperature sensor error on compressor 3 (short/open)  -ERROR detect Condition: detect outdoor temperatureerature more than -10°C  -ERROR LEVEL: more than 4.95V(-30'C), less than 0.5V(151'C)",yes,assumed (full original table),not sampled
286,중압센서 short/open에러 Middle Pressure short/open Error (To be confirmed by HQ),yes,assumed (full original table),not sampled
291,Refrigerant leakage or high pressure sensor is open/short,yes,assumed (full original table),not sampled
296,Refrigerant leakage or low pressure sensor is open/short,yes,assumed (full original table),not sampled
301,High Pressure SENSOR breakaway ERROR,yes,assumed (full original table),not sampled
306,Low Pressure SENSOR breakaway ERROR,yes,assumed (full original table),not sampled
307,Oil balance temperature sensor (open/short),yes,assumed (full original table),not sampled
308,Suction line 1 temperature sensor error (open/short),yes,assumed (full original table),not sampled
309,Oil Balace Sensor2  SHORT/OPEN,yes,assumed (full original table),not sampled
310,Oil Balance Sensor3 SHORT/OPEN,yes,assumed (full original table),not sampled
311,Double tube / liquid temperature sensor error (open/short),yes,assumed (full original table),not sampled
312,Main cooling solenoid valve opening error (open/short),yes,assumed (full original table),not sampled
313,4-Way Valve operation Error,yes,assumed (full original table),not sampled
314,Oil Balace Sensor4 SHORT/OPEN,yes,assumed (full original table),not sampled
315,CT1 Sensor Short or Open,yes,assumed (full original table),not sampled
316,CT2 Sensor Short or Open,yes,assumed (full original table),not sampled
317,CT3 Sensor Short or Open,yes,assumed (full original table),not sampled
320,OLP Sensor Error (open/short) Error condition; outdoor temperature under -20°C Error level; over 4.95V (-30°C) under 0.5V (151°C),yes,assumed (full original table),not sampled
321,EVI-in temperature sensor error (open/short),yes,assumed (full original table),not sampled
322,EVI-out temperature sensor error (open/short),yes,assumed (full original table),not sampled
323,Suction line 2 temperature sensor error (open/short) (on heat recovery systems only),yes,assumed (full original table),not sampled
324,Outdoor Unit Fan Motor Current Sensor SHORT / OPEN,yes,assumed (full original table),not sampled
325,Outdoor Unit Fan2 Motor Current Sensor SHORT / OPEN,yes,assumed (full original table),not sampled
330,Eva-In1 sensor short/open,yes,assumed (full original table),not sampled
331,Eva-In2 sensor short/open,yes,assumed (full original table),not sampled
332,Eva-In3 sensor short/open,yes,assumed (full original table),not sampled
333,Eva-In4 sensor short/open,yes,assumed (full original table),not sampled
334,Eva-In5 sensor short/open,yes,assumed (full original table),not sampled
335,EVA-Out1 sensor short/open,yes,assumed (full original table),not sampled
336,EVA-Out2 sensor short/open,yes,assumed (full original table),not sampled
337,EVA-Out3 sensor short/open,yes,assumed (full original table),not sampled
338,EVA-Out4 sensor short/open,yes,assumed (full original table),not sampled
339,EVA-Out5 sensor short/open,yes,assumed (full original table),not sampled
346,Failure of starting 'fan controller 2',yes,assumed (full original table),not sampled
347,Error of wiring of 'fan controller 2',yes,assumed (full original table),yes
348,Locking Error of 'fan controller 2',yes,assumed (full original table),yes
353,Overheat Error of Outdoor 2nd fan,yes,assumed (full original table),yes
355,IPM(Internal PCB Module) Overheat Error of Outdoor 2nd fan,yes,assumed (full original table),yes
361,Starting failure error of compressor 2 OR CT1 Low Current,yes,assumed (full original table),yes
364,Inverter 2 DC Peak Compressor down - ( Over current error of compressor 2),yes,assumed (full original table),yes
365,Inverter 2 Compressor down overcurrent (over than 30 A) / Overload,yes,assumed (full original table),yes
